1;8;9
1;9;56
1;10;102
1;11;76
1;12;62
1;13;85
1;14;108
1;15;81
1;16;33
1;17;16
1;18;24
1;19;3
1;20;3
2;8;7
2;9;33
2;10;77
2;11;65
2;12;48
2;13;62
2;14;80
2;15;65
2;16;27
2;17;13
2;18;23
2;19;2
3;8;7
3;9;34
3;10;79
3;11;70
3;12;52
3;13;68
3;14;89
3;15;71
3;16;29
3;17;15
3;18;18
3;19;1
4;8;4
4;9;15
4;10;38
4;11;38
4;12;30
4;13;35
4;14;44
4;15;39
4;16;20
4;17;14
4;18;4
4;19;2
4;20;2
5;7;1
5;8;4
5;9;14
5;10;48
5;11;64
5;12;53
5;13;51
5;14;72
5;15;78
5;16;48
5;17;38
5;18;6
5;19;5
5;20;3
5;22;1
6;8;2
6;9;7
6;10;30
6;11;47
6;12;42
6;13;38
6;14;51
6;15;57
6;16;40
6;17;34
6;18;8
6;19;3
6;20;2
7;8;2
7;9;3
7;10;11
7;11;15
7;12;13
7;13;12
7;14;17
7;15;17
7;16;11
7;17;9
7;18;2
7;19;2
8;7;1
8;8;3
8;9;15
8;10;45
8;11;59
8;12;51
8;13;47
8;14;67
8;15;73
8;16;51
8;17;41
8;18;12
8;19;7
8;20;4
9;7;1
9;8;4
9;9;19
9;10;60
9;11;71
9;12;50
9;13;56
9;14;81
9;15;79
9;16;41
9;17;23
9;18;19
9;19;6
9;20;1
9;22;1
9;23;1
10;8;3
10;9;10
10;10;41
10;11;54
10;12;41
10;13;41
10;14;60
10;15;64
10;16;34
10;17;25
10;18;22
10;19;1
11;8;3
11;9;10
11;10;44
11;11;68
11;12;57
11;13;51
11;14;76
11;15;86
11;16;57
11;17;48
11;18;17
11;19;8
11;20;1
12;8;2
12;9;5
12;10;21
12;11;33
12;12;28
12;13;23
12;14;38
12;15;43
12;16;28
12;17;22
12;18;9
12;19;6
13;8;2
13;9;9
13;10;38
13;11;60
13;12;51
13;13;46
13;14;67
13;15;80
13;16;58
13;17;53
13;18;15
13;19;9
13;20;2
14;8;2
14;9;5
14;10;18
14;11;26
14;12;23
14;13;21
14;14;28
14;15;29
14;16;21
14;17;17
14;18;9
14;19;9
15;8;2
15;9;3
15;10;12
15;11;15
15;12;14
15;13;14
15;14;18
15;15;18
15;16;12
15;17;9
15;18;5
15;19;4
15;20;1
16;8;2
16;9;6
16;10;21
16;11;30
16;12;25
16;13;24
16;14;34
16;15;38
16;16;27
16;17;26
16;18;3
16;19;2
16;20;1
17;8;2
17;9;6
17;10;25
17;11;38
17;12;32
17;13;30
17;14;47
17;15;52
17;16;32
17;17;25
17;18;8
17;19;6
17;20;3
18;8;2
18;9;5
18;10;22
18;11;34
18;12;29
18;13;29
18;14;37
18;15;41
18;16;27
18;17;24
18;18;4
18;19;2
19;8;3
19;9;9
19;10;34
19;11;61
19;12;51
19;13;48
19;14;64
19;15;73
19;16;54
19;17;47
19;18;6
19;19;5
19;20;7
